"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"2530",3,"UMBS",422,"D02W",208,"PIST",8.9,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2531",4,"UMBS",422,"D02W",209,"POGR",24.8,"L","OS","6/22/2018",NA,NA,"D","23-28"
"2532",6,"UMBS",422,"D02W",211,"QURU",23.4,"D","OS","6/22/2018","0211- 0212 SHARE BASE",NA,"D","23-28"
"2533",7,"UMBS",422,"D02W",212,"QURU",26.6,"L","OD","6/22/2018","0211- 0212 SHARE BASE",NA,"D","23-28"
"2534",8,"UMBS",422,"D02W",213,"PIST",8.1,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2535",9,"UMBS",422,"D02W",214,"QURU",21.6,"L","OD","6/22/2018","0214- 0215 SHARE BASE",NA,"D","18-23"
"2536",10,"UMBS",422,"D02W",215,"QURU",25.8,"L","OD","6/22/2018","0214- 0215 SHARE BASE",NA,"D","23-28"
"2537",11,"UMBS",422,"D02W",216,"QURU",17.5,"L","OD","6/22/2018",NA,NA,"D","13-18"
"2538",12,"UMBS",422,"D02W",217,"QURU",12.9,"D","OS","6/22/2018",NA,NA,"D","8-13"
"2539",13,"UMBS",422,"D02W",218,"QURU",30.5,"L","OD","6/22/2018",NA,NA,"D","28-33"
"2540",14,"UMBS",422,"D02W",219,"QURU",30.8,"L","OD","6/22/2018",NA,NA,"D","28-33"
"2541",15,"UMBS",422,"D02W",220,"QURU",15.3,"D","OS","6/22/2018",NA,NA,"D","13-18"
"2542",16,"UMBS",422,"D02W",221,"ACRU",10.2,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2543",17,"UMBS",422,"D02W",222,"ACRU",8.7,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2544",18,"UMBS",422,"D02W",223,"FAGR",10.8,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2545",19,"UMBS",422,"D02W",224,"ACRU",12.4,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2546",20,"UMBS",422,"D02W",225,"QURU",23.2,"L","OD","6/22/2018","0225-- 0226 SHARE BASE",NA,"D","23-28"
"2547",21,"UMBS",422,"D02W",226,"QURU",24.5,"L","OD","6/22/2018","0225-- 0226 SHARE BASE",NA,"D","23-28"
"2548",22,"UMBS",422,"D02W",227,"ACRU",9.8,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2549",23,"UMBS",422,"D02W",228,"QURU",13.6,"D","OS","6/22/2018","0228-0230 SHARE BASE",NA,"D","13-18"
"2550",24,"UMBS",422,"D02W",229,"QURU",12.8,"D","OS","6/22/2018","0228-0230 SHARE BASE",NA,"D","8-13"
"2551",25,"UMBS",423,"D02W",230,"QURU",29.1,"L","OD","6/22/2018","0228-0230 SHARE BASE",NA,"D","28-33"
"2552",26,"UMBS",422,"D02W",231,"ACRU",11.7,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2553",27,"UMBS",422,"D02W",232,"QURU",34.4,"L","OD","6/22/2018","0232- 0233 SHARE BASE",NA,"D","33-38"
"2554",28,"UMBS",422,"D02W",233,"QURU",35.5,"L","OD","6/22/2018","0232- 0233 SHARE BASE",NA,"D","33-38"
"2555",29,"UMBS",422,"D02W",234,"ACRU",9.3,"L","OS","6/22/2018",NA,NA,"D","8-13"
"2556",30,"UMBS",422,"D02W",235,"ACRU",13.1,"L","OS","6/22/2018",NA,NA,"D","13-18"
"2557",31,"UMBS",422,"D02W",236,"FAGR",9.3,"L","UN","6/22/2018",NA,NA,"D","8-13"
"2558",32,"UMBS",422,"D02W",237,"ACRU",9.5,"L","OS","6/22/2018","0237-0240 SHARE BASE",NA,"D","8-13"
"2559",33,"UMBS",422,"D02W",238,"ACRU",16.3,"L","OS","6/22/2018","0237-0240 SHARE BASE",NA,"D","13-18"
"2560",34,"UMBS",422,"D02W",239,"ACRU",9.5,"L","OS","6/22/2018","0237-0240 SHARE BASE",NA,"D","8-13"
"2561",35,"UMBS",422,"D02W",240,"ACRU",9.8,"L","OS","6/22/2018","0237-0240 SHARE BASE",NA,"D","8-13"
"2562",36,"UMBS",422,"D02W",241,"QURU",24.4,"L","OD","6/22/2018",NA,NA,"D","23-28"
