"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area"
"98","ACRU",342,"1542","UMBS",20.6,"L","OD","06/29/2018","1541-1543 share base","C04E","C","C04",45.563775,-84.7031782,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.93608393689301,"Acer",19,74.7855948009672
"99","ACRU",322,"1111","UMBS",14,"L","OS","06/28/2018","Labeled as outside of plot","C02E","C","C02",45.5631818,-84.7066664,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.17143086549676,"Acer",19,41.2571864444385
"100","ACRU",322,"1056","UMBS",9.4,"L","UN","06/28/2018","Shared base with 1055","C02E","C","C02",45.5631657,-84.7062958,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.1757790734937,"Acer",19,22.3398023963803
"101","ACRU",231,"1960","UMBS",15.9,"L","OS","07/05/2018","","B03W","B","B03",45.5563617,-84.7259579,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.64155953546813,"Acer",19,50.1896311738944
"102","ACRU",141,"2622","UMBS",24.7,"L","OS","07/12/2018","2622 - 2623 share base","A04W","A","A04",45.5636293,-84.7266635,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.20549627250528,"Acer",19,98.9044291776004
"103","ACRU",222,"1946","UMBS",13.4,"D","OS","07/05/2018","1945-1947 share base","B02E","B","B02",45.5559035,-84.7266428,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.02978585305094,"Acer",19,38.5659312079678
"104","ACRU",132,"2526","UMBS",24.8,"L","OD","07/11/2018","","A03E","A","A03",45.5628858,-84.7268885,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.23798704887954,"Acer",19,99.5217539287113
"105","ACRU",212,"1661","UMBS",13.7,"L","OS","07/04/2018","1661-1662 share base","B01E","B","B01",45.5567997,-84.7264478,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.10018960811505,"Acer",19,39.903602554186
"106","ACRU",331,"1239","UMBS",9.8,"L","OS","06/28/2018","Shared base with 1222","C03W","C","C03",45.5630652,-84.7057795,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.25370970677177,"Acer",19,23.8204844286636
"107","ACRU",132,"2544","UMBS",8.7,"L","UN","07/11/2018",".08 our of plot","A03E","A","A03",45.5630373,-84.7270365,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer",19,19.8299711239636
"108","ACRU",111,"2983","UMBS",28.9,"L","OS","07/13/2018","2981-2984 share base, 2983 reading taken above DBH","A01W","A","A01",45.5637584,-84.7290072,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.62966386720398,"Acer",19,125.963613476876
