"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"406","UMBS",-99999,-99999,"",-99999,"","","","",NA
"407","UMBS",-99999,-99999,"",-99999,"","","","",NA
"408","UMBS",-99999,-99999,"",-99999,"","","","",NA
"409","UMBS",-99999,-99999,"",-99999,"","","","",NA
"410","UMBS",-99999,-99999,"",-99999,"","","","",NA
"411","UMBS",-99999,-99999,"",-99999,"","","","",NA
"412","UMBS",-99999,-99999,"",-99999,"","","","",NA
"413","UMBS",-99999,-99999,"",-99999,"","","","",NA
"414","UMBS",-99999,-99999,"",-99999,"","","","",NA
"415","UMBS",-99999,-99999,"",-99999,"","","","",NA
